,SPX Index,cash,total,benchmark
2012-10-08,-152867.40000000002,308257.68000000005,155390.28000000003,171003.7116501966
2012-10-09,-151355.4,308257.68000000005,156902.28000000006,169312.32675050513
2012-10-10,-150418.8,308257.68000000005,157838.88000000006,168264.60777097402
2012-10-11,-150448.19999999998,308257.68000000005,157809.48000000007,168297.49581069025
2012-10-12,-150001.94999999998,308257.68000000005,158255.73000000007,167798.30235071186
2012-10-15,-151213.65000000002,308257.68000000005,157044.03000000003,169153.75941615907
2012-10-16,-152766.6,308257.68000000005,155491.08000000005,170890.95265688386
2012-10-17,-153395.55000000002,308257.68000000005,154862.13000000003,171594.52179224163
2012-10-18,-153020.69999999998,308257.68000000005,155236.98000000007,171175.19928585977
2012-10-19,-150484.95,308257.68000000005,157772.73000000004,168338.60586033552
2012-10-22,-150551.1,308257.68000000005,157706.58000000005,168412.603949697
2012-10-23,-148376.55,308257.68000000005,159881.13000000006,165980.06358354347
2012-10-24,-147918.75,308257.68000000005,160338.93000000005,165467.949822248
2012-10-25,-148361.85,308257.68000000005,159895.83000000005,165963.61956368538
2012-10-26,-148253.7,308257.68000000005,160003.98000000004,165842.63856044356
2012-10-31,-148276.80000000002,308257.68000000005,159980.88000000003,165868.47916307772
2012-11-01,-149896.94999999998,308257.68000000005,158360.73000000007,167680.845066011
2012-11-02,-148491.0,308257.68000000005,159766.68000000005,166108.09202386736
2012-11-05,-148812.3,308257.68000000005,159445.38000000006,166467.5113150518
2012-11-06,-149980.95,308257.68000000005,158276.73000000004,167774.81089377165
2012-11-07,-146425.65,308257.68000000005,161832.03000000006,163797.70723380265
2012-11-08,-144638.55,308257.68000000005,163619.13000000006,161798.58424819508
2012-11-09,-144884.25,308257.68000000005,163373.43000000005,162073.43429439495
2012-11-12,-144903.15,308257.68000000005,163354.53000000006,162094.57660564108
2012-11-13,-144325.65,308257.68000000005,163932.03000000006,161448.5615397867
2012-11-14,-142326.45,308257.68000000005,165931.23000000004,159212.1748390835
2012-11-15,-142099.65,308257.68000000005,166158.03000000006,158958.46710412978
2012-11-16,-142787.40000000002,308257.68000000005,165470.28000000003,159727.81231892
2012-11-19,-145623.45,308257.68000000005,162634.23000000004,162900.33357868856
2012-11-20,-145720.05,308257.68000000005,162537.63000000006,163008.39428061328
2012-11-21,-146058.15,308257.68000000005,162199.53000000006,163386.60673734988
2012-11-23,-147960.75,308257.68000000005,160296.93000000005,165514.93273612834
2012-11-26,-147660.44999999998,308257.68000000005,160597.23000000007,165179.00490188404
2012-11-27,-146888.7,308257.68000000005,161368.98000000004,164315.69385933317
2012-11-28,-148042.65,308257.68000000005,160215.03000000006,165606.54941819495
2012-11-29,-148674.75,308257.68000000005,159582.93000000005,166313.64227209377
2012-11-30,158612.16,946.6200000000536,159558.78000000006,166340.65744757495
2012-12-03,157859.52000000002,946.6200000000536,158806.14000000007,165551.3444943856
2012-12-04,157589.6,946.6200000000536,158536.22000000006,165268.27243825665
2012-12-05,157839.36,946.6200000000536,158785.98000000004,165530.20218313942
2012-12-06,158361.28,946.6200000000536,159307.90000000005,166077.55312984515
2012-12-07,158823.84,946.6200000000536,159770.46000000005,166562.65171565942
2012-12-10,158877.6,946.6200000000536,159824.22000000006,166619.0312123158
2012-12-11,159918.08,946.6200000000536,160864.70000000004,167710.2093871862
2012-12-12,159989.76,946.6200000000536,160936.38000000006,167785.38204939468
2012-12-13,158978.4,946.6200000000536,159925.02000000005,166724.74276854648
2012-12-14,158320.96,946.6200000000536,159267.58000000005,166035.2685073528
2012-12-17,160200.31999999998,946.6200000000536,161146.94000000003,168006.20174463218
2012-12-18,162040.47999999998,946.6200000000536,162987.10000000003,169936.0249322663
2012-12-19,160810.72,946.6200000000536,161757.34000000005,168646.34394625155
2012-12-20,161693.28,946.6200000000536,162639.90000000005,169571.90734969385
2012-12-21,160176.80000000002,946.6200000000536,161123.42000000007,167981.53571484506
2012-12-24,159785.92,946.6200000000536,160732.54000000007,167571.6097912393
